vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;revenueDistance_pm
taxi79;0;0;0;0
taxi81;0;0;0;0
taxi80;0;0;0;0
taxi83;0;0;0;0
taxi82;0;0;0;0
taxi85;0;0;0;0
taxi84;0;0;0;0
taxi87;0;0;0;0
taxi86;0;0;0;0
taxi89;0;0;0;0
taxi88;0;0;0;0
taxi90;0;0;0;0
taxi92;0;0;0;0
taxi91;0;0;0;0
taxi94;0;0;0;0
taxi93;0;0;0;0
taxi96;0;0;0;0
taxi95;0;0;0;0
taxi98;0;0;0;0
taxi97;0;0;0;0
taxi99;0;0;0;0
taxi36;0;0;0;0
taxi35;0;0;0;0
taxi38;0;0;0;0
taxi37;0;0;0;0
taxi39;0;0;0;0
taxi192;0;0;0;0
taxi193;0;0;0;0
taxi194;0;0;0;0
taxi195;0;0;0;0
taxi190;0;0;0;0
taxi191;0;0;0;0
taxi196;0;0;0;0
taxi197;0;0;0;0
taxi198;0;0;0;0
taxi199;0;0;0;0
taxi41;0;0;0;0
taxi40;0;0;0;0
taxi43;0;0;0;0
taxi42;0;0;0;0
taxi45;0;0;0;0
taxi44;0;0;0;0
taxi47;0;0;0;0
taxi46;0;0;0;0
taxi49;0;0;0;0
taxi48;0;0;0;0
taxi181;0;0;0;0
taxi182;0;0;0;0
taxi183;0;0;0;0
taxi184;0;0;0;0
taxi180;0;0;0;0
taxi189;0;0;0;0
taxi185;0;0;0;0
taxi186;0;0;0;0
taxi187;0;0;0;0
taxi188;0;0;0;0
taxi50;0;0;0;0
taxi52;0;0;0;0
taxi51;0;0;0;0
taxi54;0;0;0;0
taxi53;0;0;0;0
taxi56;0;0;0;0
taxi55;0;0;0;0
taxi58;0;0;0;0
taxi57;0;0;0;0
taxi59;0;0;0;0
taxi61;0;0;0;0
taxi60;0;0;0;0
taxi63;0;0;0;0
taxi62;0;0;0;0
taxi65;0;0;0;0
taxi64;0;0;0;0
taxi67;0;0;0;0
taxi66;0;0;0;0
taxi69;0;0;0;0
taxi68;0;0;0;0
taxi70;0;0;0;0
taxi72;0;0;0;0
taxi71;0;0;0;0
taxi74;0;0;0;0
taxi73;0;0;0;0
taxi76;0;0;0;0
taxi75;0;0;0;0
taxi78;0;0;0;0
taxi77;0;0;0;0
taxi150;0;0;0;0
taxi151;0;0;0;0
taxi156;0;0;0;0
taxi157;0;0;0;0
taxi158;0;0;0;0
taxi159;0;0;0;0
taxi152;0;0;0;0
taxi153;0;0;0;0
taxi154;0;0;0;0
taxi155;0;0;0;0
taxi140;0;0;0;0
taxi145;0;0;0;0
taxi146;0;0;0;0
taxi147;0;0;0;0
taxi148;0;0;0;0
taxi141;0;0;0;0
taxi142;0;0;0;0
taxi143;0;0;0;0
taxi144;0;0;0;0
taxi10;0;0;0;0
taxi149;0;0;0;0
taxi12;0;0;0;0
taxi11;0;0;0;0
taxi14;0;0;0;0
taxi13;0;0;0;0
taxi0;0;0;0;0
taxi16;0;0;0;0
taxi1;0;0;0;0
taxi15;0;0;0;0
taxi2;0;0;0;0
taxi18;0;0;0;0
taxi3;0;0;0;0
taxi17;0;0;0;0
taxi4;0;0;0;0
taxi5;0;0;0;0
taxi19;0;0;0;0
taxi6;0;0;0;0
taxi170;0;0;0;0
taxi7;0;0;0;0
taxi171;0;0;0;0
taxi8;0;0;0;0
taxi172;0;0;0;0
taxi9;0;0;0;0
taxi173;0;0;0;0
taxi178;0;0;0;0
taxi179;0;0;0;0
taxi174;0;0;0;0
taxi175;0;0;0;0
taxi176;0;0;0;0
taxi177;0;0;0;0
taxi21;0;0;0;0
taxi20;0;0;0;0
taxi23;0;0;0;0
taxi22;0;0;0;0
taxi25;0;0;0;0
taxi24;0;0;0;0
taxi27;0;0;0;0
taxi26;0;0;0;0
taxi29;0;0;0;0
taxi28;0;0;0;0
taxi160;0;0;0;0
taxi161;0;0;0;0
taxi162;0;0;0;0
taxi167;0;0;0;0
taxi168;0;0;0;0
taxi169;0;0;0;0
taxi163;0;0;0;0
taxi164;0;0;0;0
taxi165;0;0;0;0
taxi166;0;0;0;0
taxi30;0;0;0;0
taxi32;0;0;0;0
taxi31;0;0;0;0
taxi34;0;0;0;0
taxi33;0;0;0;0
taxi112;0;0;0;0
taxi113;0;0;0;0
taxi114;0;0;0;0
taxi115;0;0;0;0
taxi110;0;0;0;0
taxi111;0;0;0;0
taxi116;0;0;0;0
taxi117;0;0;0;0
taxi118;0;0;0;0
taxi119;0;0;0;0
taxi101;0;0;0;0
taxi102;0;0;0;0
taxi103;0;0;0;0
taxi104;0;0;0;0
taxi100;0;0;0;0
taxi109;0;0;0;0
taxi105;0;0;0;0
taxi106;0;0;0;0
taxi107;0;0;0;0
taxi108;0;0;0;0
taxi134;0;0;0;0
taxi135;0;0;0;0
taxi136;0;0;0;0
taxi137;0;0;0;0
taxi130;0;0;0;0
taxi131;0;0;0;0
taxi132;0;0;0;0
taxi133;0;0;0;0
taxi138;0;0;0;0
taxi139;0;0;0;0
taxi123;0;0;0;0
taxi124;0;0;0;0
taxi125;0;0;0;0
taxi126;0;0;0;0
taxi120;0;0;0;0
taxi121;0;0;0;0
taxi122;0;0;0;0
taxi127;0;0;0;0
taxi128;0;0;0;0
taxi129;0;0;0;0
